Category,Brand ID,Price in USD,User ID,Gender,Color,type
pendant,1.0,54.66,1.5159156250484936e+18,f,white,sapphire
pendant,0.0,88.9,1.5159156252076308e+18,f,red,diamond
pendant,2.0,60.27,1.5159156252343393e+18,f,red,pearl
earring,1.0,102.6,1.515915625227196e+18,f,yellow,garnet
pendant,1.0,61.51,1.515915625227196e+18,f,yellow,garnet
earring,2.0,616.3,1.5159156252154888e+18,f,red,diamond
earring,1.0,67.41,1.481116091374634e+18,f,white,fianit
earring,2.0,225.89,1.5159156250786368e+18,f,red,garnet
bracelet,1.0,130.71,1.5159156252250355e+18,f,red,pearl
bracelet,1.0,168.74,1.324526649240192e+18,f,red,fianit
earring,1.0,1246.44,1.5159156250687002e+18,f,red,diamond
earring,1.0,1424.07,1.5159156250406697e+18,f,red,diamond
ring,1.0,472.47,1.5159156250786368e+18,f,red,diamond
ring,1.0,257.51,1.460110627920937e+18,f,red,diamond
ring,1.0,81.33,1.5159156251933627e+18,f,red,fianit
ring,2.0,174.21,1.5159156250589896e+18,f,red,ruby
earring,1.0,1424.07,1.5159156252366548e+18,f,red,diamond
ring,1.0,157.4,1.5412352418200947e+18,f,red,garnet
pendant,1.0,232.74,1.515915625192773e+18,f,red,diamond
earring,1.0,636.85,1.515915625192773e+18,f,red,diamond
ring,1.0,180.78,1.5159156250786368e+18,f,white,pearl
earring,1.0,212.19,1.5159156252268506e+18,f,yellow,garnet
ring,1.0,116.3,1.5159156252268506e+18,f,yellow,garnet
bracelet,1.0,588.9,1.515915625192773e+18,f,red,diamond
ring,1.0,150.55,1.5159156251933627e+18,f,red,diamond
pendant,1.0,54.66,1.5159156250687002e+18,f,white,sapphire
ring,1.0,205.34,1.5159156252387377e+18,f,red,pearl
ring,1.0,205.34,1.5159156252387377e+18,f,red,pearl
earring,1.0,239.59,1.5159156252387377e+18,f,red,pearl
pendant,2.0,45.21,1.5159156251503117e+18,f,red,pearl
earring,1.0,266.99,1.5159156251558428e+18,f,red,topaz
pendant,2.0,44.07,1.515915625221948e+18,f,red,amethyst
ring,2.0,280.68,1.5159156251933627e+18,f,red,diamond
ring,1.0,397.12,1.5412352418200947e+18,f,white,diamond
earring,2.0,616.3,1.515915625150386e+18,f,red,diamond
ring,1.0,2034.21,1.5159156250786368e+18,f,white,diamond
pendant,1.0,54.66,1.5159156250484936e+18,f,white,sapphire
earring,1.0,864.62,1.5159156251627103e+18,f,red,diamond
pendant,1.0,239.59,1.5506129490794255e+18,f,white,diamond
ring,1.0,313.7,1.5159156252268506e+18,f,red,mix
pendant,1.0,123.15,1.5159156252489992e+18,f,red,diamond
ring,1.0,390.27,1.515915625192773e+18,f,red,diamond
ring,1.0,410.82,1.5159156250786368e+18,f,red,diamond
bracelet,1.0,506.71,1.515915625192773e+18,f,red,topaz
ring,1.0,153.29,1.5159156252085763e+18,f,red,fianit
ring,1.0,397.12,1.5159156251936563e+18,f,white,diamond
earring,1.0,287.53,1.5159156252268506e+18,f,red,fianit
earring,1.0,321.78,1.5159156252294126e+18,f,red,topaz
earring,1.0,64.49,1.463210501759566e+18,f,red,fianit
earring,1.0,1123.25,1.5159156255167196e+18,f,white,diamond
ring,2.0,342.33,1.5159156251936563e+18,f,red,diamond
pendant,1.0,68.36,1.5159156251601231e+18,f,red,fianit
ring,1.0,232.74,1.5159156252506138e+18,f,red,topaz
earring,1.0,250.55,1.5159156252509448e+18,f,red,fianit
bracelet,1.0,2082.56,1.5159156251768003e+18,f,red,diamond
